Stealing001_x264.mp4,A man is stealing a cycle.,A man picks up a cycle and walks away.,Person in a white shirt takes the cycle from someone’s porch.,Cycle kept in front of the house is stolen by a man.,The person drags a cycle kept in front of the house.
Stealing002_x264.mp4,Two men steal car battery.,Two men open  the hood of a grey car and steal it's battery.,Two men in white car steal component from grey car.,Car parked on the street has it's battery stolen by two men in a white car.,Two people drive away with stolen component from grey car.
Stealing003_x264.mp4,Man steals car from parking lot.,Cap wearing man steals black car.,Man escapes with stolen black car from the parking lot.,Man drives away with black stolen car from the parking lot.,Car in a parking lot is stolen by a man.
Stealing004_x264.mp4,Two men steal a bike.,Bike kept in the parking space is stolen by two men.,Two men walk away with stolen bike.,Two men steal bike from someone's house.,Two men drag away unattended bike from parking space.
Stealing005_x264.mp4,Man attempts to steal parked truck.,Man is  scared away by alarm as he tries to steal the car.,Man runs away as the car alarm is triggered as he tries to steal it.,Man in white shirt tries to steal van from parking spot.,Alarm prevents van from being stolen by man.
Stealing006_x264.mp4,Two men steal a bike.,Man bypasses bike lock and rides away on it.,Man gets off his bike to steal another bike parked on the street.,Person in brown shirt unlocks bike and rides away on it.,Bike parked on street is stolen by two men.
Stealing007_x264.mp4,Man steals a bike.,Man bypasses bike lock and rides away on it.,Man gets off his bike to steal another bike parked on the street.,Person in blue shirt unlocks bike and rides away on it.,Bike parked on street is stolen by two men.
Stealing008_x264.mp4,Three men steal two bikes from a parking lot.,Three men arrive in a white van and load two bikes into it.,A blue and a red bike are stolen by three men in a white van.,Men in dark outfits steal two bikes and take them away in a van.,Three men drive away with a red and a blue stolen bike.
Stealing009_x264.mp4,Man steals a bike.,Man bypasses bike lock and rides away on it.,Man walks into parking space and rides off with stolen bike.,Person in brown shirt unlocks bike and rides away on it.,Bike parked in the parking space is stolen by a man.
Stealing010_x264.mp4,Man in white shirt steals bag from car parked on a street.,Man reaches through open car window and steals a bag.,Man in a white shirt walks off with a stolen bag from a car.,Bag inside car with open window is stolen by a man.,Man notices that the car window is open and takes a bag from within it.
Stealing011_x264.mp4,Man steals a bike.,Man bypasses bike lock and rides away on it.,Man looks if anyone is watching before riding off on stolen bike.,Person in green shirt unlocks bike and rides away on it.,Bike parked on street is stolen by man.
Stealing012_x264.mp4,Man steals helmet from a scooter.,Man looks around for witnesses before taking a helmet from a parked scooter.,Helmet on a parked scooter is stolen by man wearing a dark shirt.,Man rides away with a stolen helmet from parked scooter.,Man rides in an a white scooter and rides off with stolen helmet from a parked scooter.
